Name;Lat;Lon;Pop
Bratislava;481.439;171.097;475503
Košice;487.167;212.500;229040
Petržalka;481.333;171.167;114000
Žilina;492.228;187.400;108000
Prešov;490.017;212.394;84824
Nitra;483.069;180.864;77610
Banská Bystrica;487.353;191.453;76018
Trnava;483.775;175.883;63803
Trenčín;488.919;180.367;54740
Martin;490.650;189.219;51139
Poprad;490.594;202.975;49855
Prievidza;487.711;186.217;45017
Zvolen;485.706;191.175;39844
Považská Bystrica;491.139;184.417;38641
Nové Zámky;479.856;181.578;37791
Michalovce;487.553;219.133;36704
Spišská Nová Ves;489.439;205.675;35431
Komárno;477.633;181.283;32287
Levice;482.164;186.081;31974
Humenné;489.358;219.067;31359
Liptovský Mikuláš;490.842;196.022;30522
Bardejov;492.933;212.761;30267
Ružomberok;490.786;193.083;27407
Piešťany;485.842;178.336;27301
Lučenec;483.286;196.692;25902
Topoľčany;485.542;181.769;25249
Pezinok;482.919;172.661;24900
Čadca;494.358;187.922;23328
Dunajská Streda;479.944;176.194;23044
Trebišov;486.278;217.172;22890
Rimavská Sobota;483.811;200.144;22048
Dubnica nad Váhom;489.606;181.739;22023
Partizánske;486.258;183.728;21439
Šaľa;481.503;178.775;21183
Vranov nad Topľou;488.808;216.733;20702
Hlohovec;484.333;178.033;20556
Senec;482.189;173.997;20116
Brezno;488.039;196.436;20061
Senica;486.806;173.667;19875
Nové Mesto nad Váhom;487.547;178.308;19644
Malacky;484.358;170.178;18935
Snina;489.881;221.567;18712
Dolný Kubín;492.106;192.975;18095
Žiar nad Hronom;485.842;188.608;17578
Rožňava;486.583;205.308;17569
Púchov;491.200;183.306;17068
Bánovce nad Bebravou;487.186;182.581;16614
Handlová;487.272;187.619;16199
Stará Ľubovňa;493.094;206.789;15938
Sered’;482.886;177.314;15737
Kežmarok;491.336;204.264;15552
Skalica;488.422;172.267;15471
Galanta;481.889;177.264;15277
Kysucké Nové Mesto;492.983;187.867;14660
Levoča;490.253;205.881;14256
Detva;485.514;194.183;13955
Šamorín;480.267;173.117;13628
Stupava;482.747;170.317;12595
Sabinov;491.061;210.856;12349
Zlaté Moravce;483.783;183.967;11946
Revúca;486.831;201.133;11484
Bytča;492.242;185.642;11414
Holíč;488.122;171.606;11214
Veľký Krtíš;482.150;193.381;11028
Myjava;487.492;175.644;10985
Nová Dubnica;489.331;181.439;10470
Moldava nad Bodvou;486.064;210.003;10305
Svidník;493.056;215.678;10168
Stropkov;492.050;216.514;10067
Fiľakovo;482.683;198.247;9949
Štúrovo;477.992;187.181;9777
Banská Štiavnica;484.581;188.964;9628
Šurany;480.872;181.861;9562
Modra;483.317;173.089;9346
Tvrdošín;493.343;195.548;8952
Bernolákovo;482.083;172.917;8801
Veľké Kapušany;485.503;220.847;8799
Krompachy;489.139;208.739;8739
Stará Turá;487.767;176.961;8724
Vráble;482.408;183.086;8593
Sečovce;487.025;216.567;8526
Veľký Meder;478.564;177.706;8446
Svit;490.658;201.872;7743
Námestovo;494.028;194.814;7722
Vrútky;491.117;189.183;7511
Kráľovský Chlmec;484.231;219.728;7489
Hurbanovo;478.756;181.933;7467
Jarovnice;490.500;210.667;7241
Turzovka;494.028;186.219;7233
Liptovský Hrádok;490.375;197.258;7154
Šahy;480.653;189.514;7069
Nová Baňa;484.244;186.392;7007
Ivanka pri Dunaji;481.889;172.569;6971
Tornaľa;484.222;203.303;6971
Chorvátský Grob;482.275;172.908;6830
Želiezovce;480.486;186.603;6756
Krásno nad Kysucou;493.903;188.322;6676
Spišská Belá;491.858;204.567;6646
Lipany;491.528;209.619;6480
Veľký Šariš;490.383;211.917;6471
Turčianske Teplice;488.589;188.636;6412
Nemšová;489.606;181.164;6335
Beluša;490.667;183.333;6162
Medzilaborce;492.708;219.039;5965
Svätý Jur;482.519;172.156;5941
Rajec;490.869;186.328;5897
Sobrance;487.436;221.808;5875
Čaňa;486.069;213.250;5864
Žarnovica;484.800;187.181;5830
Vrbové;486.200;177.236;5739
Šaca;486.328;211.719;5722
Raková;494.431;187.344;5630
Ilava;489.936;182.344;5568
Zákamenné;493.897;193.025;5542
Sládkovičovo;482.053;176.442;5415
Lendak;492.442;203.556;5409
Poltár;484.306;197.975;5333
Veľké Čaníkovce;482.833;173.333;5260
Skalité;495.000;189.000;5247
Slovenský Grob;482.500;172.833;5202
Rabča;494.789;194.828;5139
Rovinka;481.000;172.333;5136
Veľká Lomnica;491.167;203.500;5120
Bojnice;487.792;185.833;4978
Kremnica;486.997;189.158;4934
Sliač;486.119;191.436;4894
Brezová pod Bradlom;486.639;175.397;4848
Rudňany;488.833;206.833;4789
Sučany;491.000;189.917;4711
Markušovce;489.167;206.333;4624
Pavlovce nad Uhom;486.167;220.667;4620
Cífer;483.167;175.000;4500
Valaliky;486.500;213.000;4475
Čierne;495.000;188.167;4419
Teplička nad Váhom;492.333;188.000;4379
Veľké Zálužie;483.000;179.500;4350
Cabaj-Čápor;482.500;180.333;4295
Strážske;488.672;218.244;4277
Komjatice;481.500;181.833;4223
Trenčianska Teplá;489.333;181.167;4222
Nováky;487.133;185.394;4197
